COD_RH; COD_PRODUCTO; COD_TIPO_PRODUCTO; NOMPRE_PRODUCTO; COD_TIPO_EVENTO; EVENTO_ASOCIADO; DATOS_COMPLEMENTARIOS; LUGAR; AÑO; AMBITO; PALABRAS_CLAVE; ÁREAS; SECTORES; COAUTORES; VINCULA_COAUTORES; EDITORIAL; VOLUMEN; PAGINAS; DOI; FINALIDAD; INSTITUCIONES_ASOCIADAS; TIPO_VINCULACION_INSTITUCION
0000228958;17;2;STUDY OF THE BEHAVIOUR OF THE CORONA CURRENT UNDER CONTROLLED ENVIRONMENTAL CONDITIONS;6;2009 X International Symposium on Lightning Protection SIPDA;;So Paulo   Sao Pablo Brasil;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A CORPORACION UNIVERSITARIA MINUTO DE DIOS SEDE BELLO;Patrocinador Patrocinador;
0000228958;18;2;NOISE REDUCTION OF MEASURED LIGHTNING ELECTRIC FIELDS SIGNALS USING THE WAVELET TRANSFORM;6;2009 X International Symposium on Lightning Protection SIPDA;;So Paulo   Sao Pablo Brasil;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A CORPORACION UNIVERSITARIA MINUTO DE DIOS SEDE BELLO;Patrocinador Patrocinador;
0000228958;19;2;Noise Reduction of Measured Lightning Electric Field Signals using the Wavelet Transform;6;2009 X International Symposium on Lightning Protection SIPDA;;So Paulo   Sao Pablo Brasil;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A CORPORACION UNIVERSITARIA MINUTO DE DIOS SEDE BELLO;Patrocinador Patrocinador;
0000228958;20;2;Design Of A Multigap Loop Mgl Sensor For Lightning Magnetic Field Measurement;6;2011 International Symposium on Lightning Protection XI SIPDA;;Forlateza   Fortaleza Brasil;2011;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A UNIVERSIDAD DE SAO PAULO;Patrocinador Patrocinador;
0000228958;21;2;Influence of the wind for positive corona in a singleneedleelectrode on thunderstormlike conditions;6;2011 International Symposium on Lightning Protection XI SIPDA;;Forlateza   Fortaleza Brasil;2011;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A UNIVERSIDAD DE SAO PAULO;Patrocinador Patrocinador;
0000228958;22;2;Behavior of corona current and atmospheric variables under thunderstorm conditions Thunderstorm prediction algorithm;3;2012 International Conference on Lightning protection ICLP;;Vienna;2012;Internacional;;;;DAVID FERNANDO ARIZA GONZALEZ FRANCISCO JOSE ROMAN CAMPOS FRANCISCO SANTAMARIA PIEDRAHITA OSCAR FERNANDO ESCOBAR ALVARADO OSCAR RICARDO MONTERO TOVAR;Ponente Ponente Ponente Ponente Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A VIENNA UNIVERSITY OF TECHNOLOGY;Patrocinador Patrocinador;
0000228958;23;2;Corona current and space charge during a thunderstorm;3;2012 International Conference on Lightning protection ICLP;;Vienna;2012;Internacional;;;;DAVID FERNANDO ARIZA GONZALEZ FRANCISCO JOSE ROMAN CAMPOS FRANCISCO SANTAMARIA PIEDRAHITA OSCAR FERNANDO ESCOBAR ALVARADO OSCAR RICARDO MONTERO TOVAR;Ponente Ponente Ponente Ponente Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A VIENNA UNIVERSITY OF TECHNOLOGY;Patrocinador Patrocinador;
0000228958;24;2;Electric field sensors effect on pulsed power measurements;3;2013 13th IEEE Pulsed Power Conference PPC;;Tlaxcala   San Francisco CA USA;2013;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS FRANCISCO SANTAMARIA PIEDRAHITA;Ponente Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;Patrocinador;
0000228958;25;2;Spark gap resistance for an electrostatic discharge at different pressures;3;2008 IEEE 35th International Conference on Plasma Science;;Karlstadt   Karlsruhe Alemania;2008;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS OSCAR JAVIER DIAZ CARDENAS;Ponente Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;Patrocinador;
0000228958;26;2;Study of a sensor for measurements of high amplitudeFast rise time currents in a coaxial cable;6;2007 15th International Symposium on high Voltage Engineering ISH;;IBAGU   Ljubljana Slovenia;2007;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A;Patrocinador;
0000228958;27;2;Theorical and experimental behavior of corona needles sources;6;2007 15th International Symposium on high Voltage Engineering ISH;;IBAGU   Ljubljana Slovenia;2007;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A;Patrocinador;
0000228958;28;2;Voltage  Current characteristics of semiconductor glazes obtained with a high impedance current source;6;2007 15th International Symposium on high Voltage Engineering ISH;;IBAGU   Ljubljana Slovenia;2007;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A;Patrocinador;
0000228958;29;2;Corona current generation on a coaxial configuration with low potentials;6;2007 15th International Symposium on high Voltage Engineering ISH;;IBAGU   Ljubljana Slovenia;2007;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A;Patrocinador;
0000228958;30;2;Breakdown effect on long gaps under switching impulses statiscal variation;1;2008 29th International Conference on Lightning Protection ICLP;;Upsala   Upsala Suecia;2008;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A UPSALA UNIVERSITY;Patrocinador Patrocinador;
0000228958;31;2;Behaviour of the shoetoearth contact under lightning like current impulses;1;2008 29th International Conference on Lightning Protection ICLP;;Upsala   Upsala Suecia;2008;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A UPSALA UNIVERSITY;Patrocinador Patrocinador;
0000228958;32;2;Lightning attachment to common structures is the rolling sphere method really adequate;1;2008 29th International Conference on Lightning Protection ICLP;;Upsala   Upsala Suecia;2008;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A UPSALA UNIVERSITY;Patrocinador Patrocinador;
0000228958;33;2;Behaviour of the shoetoearth contact under lightning like current impulses;1;29th International Conference on Lightning Protection;;IBAGU;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;Patrocinador;
0000228958;34;2;Lightning attachment to common structures is the rolling sphere method really adequate;1;29th International Conference on Lightning Protection;;IBAGU;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;Patrocinador;
0000228958;35;2;Radiating Broad Band pulse generator with Corona charging mechanism;3;European electromagnetics EUROEM 2008;;Lausanne   Lausanne Suiza;2008;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A SWISS FEDERAL INSTITUTE FOR ENVIRONMENTAL SCIENCE AND TECHNOLOGY;Patrocinador Patrocinador;
0000228958;36;2;Investigation on the transmisión of a DC current through a space gap;3;European electromagnetics EUROEM 2008;;Lausanne   Lausanne Suiza;2008;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A SWISS FEDERAL INSTITUTE FOR ENVIRONMENTAL SCIENCE AND TECHNOLOGY;Patrocinador Patrocinador;
0000228958;37;2;Corona Charged Subnanosecond Impulse Generator;6;The 20th International Zurich Symposium on Electromagnetic Compatibility;;BOGOT DC;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;Patrocinador;
0000228958;38;2;Design and Construction of a Compact Electrostatic Fast Impulse Current Generator;1;2005 IEEE Pulsed Power Conference;;BOGOT DC;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;39;2;Design and Simulation of an Electromagnetic Lens for a Half Impulse Radiating Antenna;3;2009 International Conference on Electromagnetics in Advanced Applications ICEAA 09;;Torino   Torino Italia;2009;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A CENTRO CONGRESSI TORINO INCONTRA;Patrocinador Patrocinador;
0000228958;40;2;Design and Construction of a Corona Charged High Power Impulse Generator;3;2009 Pulsed Power Conference PPC 09;;Washington DC   Washington DC USA;2010;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A;Patrocinador;
0000228958;41;2;Corona Charged subnanosecond impulse generator;6;2009 20th International Zurich Symposium on Electromagnetic Compatibility;;Zrich   Zurich Switzerland;2010;Internacional;;;;FRANCISCO JOSE ROMAN CAMPOS;Ponente magistral;;;;;;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S A SERVICIO SISMOLOGICO SUIZO ETH;Patrocinador Patrocinador;
0000228958;42;2;Comparison of The Breakdown Voltage of Two Insulating Columns Using The Simple Stress Method;6;VI International Symposium on Lightning Protection VI Sipda Santos Brazil 19  23 Nov 323  328;;Santos Brasil;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
