COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000182265;3;Distinción Meritoria;Abril;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000182265;4;Beca de doctorado para estancia en el exterior;;2006;GRUPO DE HIDROGEOLOGIA UPC;
0000182265;5;Matrícula de Honor por Excelentes Méritos Académicos el Primer Semestre de 2001;;2001;FACULTAD DE INGENIERIA UNCB;
0000182265;6;Matrícula de Honor por Excelentes Méritos Académicos el Segundo Semestre de 2000;;2000;FACULTAD DE INGENIERIA UNCB;
0000182265;7;Beca ALBAN;;2003;COMISION EUROPEA;
0000182265;8;Matrícula de Honor por Excelentes Méritos Académicos en el Segundo Semestre de 2001.;;2001;FACULTAD DE INGENIERIA UNCB;
0000182265;9;Beca para curso de verano;;2006;PURDUE UNIVERSITY;
0000182265;10;Jóven Investigador del Programa de Formación de Jóvenes Investigadores;;2001;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000182265;11;Mención de honor al Premio Gerald Leonards;;2007;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000192350;1;Exención de Matrícula;;1975;por las calificaciones obtenidas en el octavo semestre de Ingeniería Civil (segundo semestre académico de 1975), según la resolución No, 96 del acta No. 26 de Septiembre de 1976 del Consejo Directivo de la Facultad de Ingeniería de,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000194077;1;Premio ¿Lorenzo Codazzi¿ de la Sociedad Colombiana de Ingenieros (versión 2016).;Octubre;2016;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000194077;2;Mención de Honor al Mejor Trabajo de Grado;Junio;2008;PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE BOGOTA;
0000194077;3;Mención de Honor al Mejor Trabajo de Grado;Junio;2011;PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE BOGOTA;
0000194077;4;Programa General de Becas Colfuturo;;1995;FUNDACION PARA EL FUTURO DE COLOMBIA;
0000194077;5;Premio de la Unión de Universidades de América Latina (UDUAL) de apoyo a la Investigación 2005. Categoría de Ciencia y Tecnología.;;2005;UNION DE UNIVERSIDADES DE AMERICA LATINA UDUAL;
0000194077;6;Premio SOCIO 2002 a Jovenes Investigadores;;2002;SOCIEDAD COLOMBIANA DE INVESTIGACION DE OPERACIONES;
0000194077;7;Premio Bienal al Mejor Investigador en las areas de Ingeniería;;2003;Arquitectura y Ciencias Afines,PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE BOGOTA;
0000194417;1;Premio Nacional: Mención a tesis de Doctorado (CUM LAUDE);;2001;UNIVERSIDAD DE CANTABRIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000194417;2;2 Matrículas de honor y excenciones de matrícula por haber obtenido los mejores promedios durante la carrera;;1982;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000194417;3;2 Matrículas de honor y excenciones de matrícula por haber obtenido los mejores promedios durante la carrera;;1981;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000194417;4;2 excenciones de matrícula por haber obtenido los mejores promedios académicos durante el postgrado.;;1994;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000194417;5;2 Matrículas de honor y excenciones de matrícula por haber obtenido los mejores promedios durante la carrera;;1983;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000195731;1;Premio Lorenzo Codazzi a la firma Estudios y Asesorías Ingenieros Consultores;;1982;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000198846;1;MENCIÓN DE HONOR;Abril;2012;PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE BOGOTA;
0000198846;2;Mejor alumno de la segunda promoción de 1976 - Ingenieria Electronica - Universidad javeriana;Ingenieria Electronica - Universidad javeriana,ASOCIACION DE INGENIEROS JAVERIANOS -;1977;;
0000198846;3;Grado CUM LAUDE;Septiembre;2008;PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE BOGOTA;
0000198846;4;Orden Al Mérito Académico Vicente Pizano Restrepo;Agosto;2008;PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE BOGOTA;
0000198846;5;Orden Al Mérito Académico;Septiembre;2008;PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE BOGOTA;
0000198846;6;Profesor Especial;Febrero;2008;ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO E C I;
0000201707;1;Mejor Proyecto de la Subdirección de Sistemas de Producción;;1999;CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA CORPOICA;
0000208990;1;Tesis Meritoria;Octubre;2016;;
0000209678;1;Beca para cursar estudios de posgrado por mejor promedio graduandos;;1995;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000209961;1;Reconocimiento por los Trabajos Realizados en las Jornadas Nacionales de Mantenimiento;;1998;DEPARTAMENTO DE INGENIERIA MECANICA UN;
0000209961;2;Mención Curso de Diseño de Máquinas;;1998;DEPARTAMENTO DE INGENIERIA MECANICA UN;
0000209961;3;Mención como Docente en la Formación Académica y Profesional de Egresados;;1990;DEPARTAMENTO DE INGENIERIA MECANICA UN;
0000209961;4;Distinción en reconocimiento a 27 años de contribución a la formación de ingenieros;;2002;FACULTAD DE INGENIERIA MECANICA UNCB;
0000209961;5;Diploma de reconocimiento por 20 años de dedicación a la formación de ingenieros mecánicos;;1986;FACULTAD DE INGENIERIA MECANICA UNCB;
0000209961;6;Diploma de reconocimiento por aporte a la investigación y por servicio a la Facultad de Ingeniería Mecánica;;1986;FACULTAD DE INGENIERIA MECANICA UNCB;
0000209961;7;Profesor Emérito;;2000;CONSEJO SUPERIOR UNIVERSITARIO UNIVERSIDAD NACIONAL DE COLOMBIA;
0000209961;8;Docencia Excepcional;;2001;CONSEJO SUPERIOR UNIVERSITARIO UNIVERSIDAD NACIONAL DE COLOMBIA;
0000209961;9;Carta de reconocimiento por estudio de la Obsolescencia Tecnológica de Maquinaria en la Industria Metalmecánica;;1986;FACULTAD DE CIENCIAS ECONOMICAS CENTRO DE INVESTIGACIONES PARA EL DESARROLLO;
0000209961;10;Carta de reconocimiento por trabajo Fallas en Ejes y Arboles en las III Jornadas Nacionales sobre Mantenimiento ACIEM;;1986;ACIEM;
0000209961;11;Carta de reconocimiento por el trabajo en el curso de extensión Maquinas de Elevación y Transporte AIMUN;;1986;AIMUN;
0000209961;12;Reconocimineto por la elaboración y Trabajo en los Cursos de Máquinas de Elevación y Transporte;;1984;AIMUN;
0000209961;13;Mérito Académico;;1990;FACULTAD DE INGENIERIA UN;
0000209961;14;Reconocimiento a la Labor en la Dirección de Proyectos de Diseño de Máquinas;;1999;FACULTAD DE INGENIERIA UN;
0000209961;15;Mención de reconocimiento por 25 años de dedicación a la facultad de ingeniería mecánica;;2000;UNIVEERSIDAD NACIONAL DE COLOMBIA;
0000209961;16;Carta de reconocimiento por el trabajo: Criterios y conceptos generales para el reconocimiento de fallas en ejes y árboles;;1984;FACULTAD DE INGENIERIA MECANICA UN;
0000209961;17;Diploma de reconocimiento especial por Colaboración y Sentido de Pertenencia;;2001;DEPARTAMENTO DE INGENIERIA MECANICA;
0000212350;1;Tesis de Maestría Meritoria;Noviembre;2012;;
0000212350;2;Trabajo Final de Maestría Meritorio;Diciembre;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000212350;3;Trabajo Final Meritorio;Diciembre;2012;;
0000212350;4;Tesis de Maestría Meritoria;Septiembre;2011;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000212350;5;Distinción Cum Laude;Julio;2013;UNIVERSIDAD DE ANTIOQUIA UDEA;
0000212350;6;Tesis de Maestría Meritoria;Diciembre;2013;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000212350;7;Trabajo Final Meritorio;Mayo;2010;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000212350;8;Distinción Docencia Meritoria;Octubre;2008;Facultad de Ingeniería,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000212350;9;Exitosos antes de los 35;;2000;REVISTA DINERO;
0000212350;10;Becario Fulbright para el Programa de Becas 2000 en el área de doctorado en estudios ambientales;;1999;COMISION FULBRIGHT;
0000216666;1;Mención Honrosa - Mejor ponencia en el área de inspección de oleoductos Rio Pipeline Conference & Exposition 2009;Mejor ponencia en el área;inspección de oleoductos Rio Pipeline Conference & Exposition 2009, - Septiembrede 2009;;
0000216666;2;Mejor ponencia V Congreso de Ingeniería Mecánica y III de Ingeniería Mecatrónica - 2011;2011, - Agosto;2011;;
0000216666;3;Beneficiario beca Curso de entrenameinto en Mecatrónica en São Paulo Brasil;;2004;JICA JAPON E SENAI BRASIL;
0000216666;4;Beneficiario beca para estudios de doctorado;;2007;CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ BRASIL;
0000216666;5;Beneficiario beca para estudios de post-grado;rado,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL -;2001;;
0000218430;1;Excelencia Académica;;1990;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000218430;2;Tesis meritoria;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000220140;1;Premis Extraordinaris de doctorat del curs acadèmic 2011-2012;012,UNIVERSITAT POLITECNICA DE CATALUNYA - Junio;2014;;
0000221996;1;PREMIO ABB: al mejor trabajo de robótica presentado en las XXIX Jornadas de automática 2008;Septiembre;2008;;
0000224596;1;Qtopia Worldwide Developer Contest;;2002;TROLLTECH Y SHARP CO;
0000228958;1;Premio a la excelencia academica;Diciembre;2007;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000228958;2;Premio Innovación tecnológica;Diciembre;2006;DE EVALUEMOS PERIODISMO TECNOLOGICO;
0000228958;3;Distinción Excelencia Académica;Septiembre;2006;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000228958;4;Investigación meritoria;Diciembre;2005;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000228958;5;Primer Premio ICEL a la Ingeniería Colombiana;;1989;ICEL;
0000228958;6;Aceptación de la U.S. Patent Number 5;;1999;892,363,UNITED STATES PATENT OFFICE;
0000228958;7;Aceptación de la U.S. Patent Number 5;;1999;923,130,UNITED STATES PATENT OFFICE;
0000228958;8;Aceptación de la U.S. Patent Number 5;;1999;939,841,UNITED STATES PATENT OFFICE;
0000228958;9;Beca para realizar pasantía en la Universidad de Guanajuato;;1999;FIMEE Salamanca, México,MINISTERIO DE EDUCACION DE MEXICO;
0000228958;10;Primer Premio Brigard & Castro Mejor Inventor del Año en Colombia con el trabajo: Inductancias Supresoras de Rayos;;1991;BRIGARD CASTRO FIRMA DE ABOGADOS;
0000228958;11;Beca para estudios de Doctorado en la Universidad de Uppsala;;1993;bajo la dirección del Profesor Viktor Scuka.,INSTITUTO SUECO SWEDISH INSTITUTE;
0000228958;12;Beca para continuar estudios de Doctorado en la Universidad de Uppsala Suecia;;1993;Profesor Viktor Scuka.,HIGH VOLTAGE RESEARCH INSTITUTE UPPSALA UNIVERSITY;
0000228958;13;Seleccionado para representar a Colombia en el Premio CAF Corporación Andina de Fomento a la investigación científica;;2002;COLCIENCIAS FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL;
0000228958;14;Reconocimiento por 24 años de valiosa contribución a la formación de ingenieros;;2002;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000228958;15;Beca para estudios de especialización de la Universidad de Karlsruhe 1982;;1982;HOCHSPANNUNGSINSTITUT FRIDERICIANA UNIVERSITAET KARLSRUHE;
0000228958;16;Miembro del Comité Científico VI SIPDA International Symposium on Lightning Protection;;2001;PROF ALEXANDRE PIANTINI UNIVERSIDAD DE SAO PAULO BRASIL;
0000228958;17;Miembro del comité científico V SIPDA International Symposium on Lightning Protection en Sao Paulo;;1999;Brasil,,PROF ALEXANDRE PIANTINI UNIVERSIDAD DE SAO PAULO BRAZIL;
0000228958;18;Seleccionado para el Premio Excelencia 1991;;1991;ASOCIACION DE INGENIEROS ELECTRICISTAS DE LA UNIVERSIDAD NACIONAL AIEUN;
0000228958;19;Segundo Lugar en el XII Congreso Nacional de ACIEM (Asociación Colombiana de Ingenieros Electricistas;;1991;Electrónicos y Mecánicos) con el trabajo Un Problema Colombiano: Las Fallas de los Transformadores de Distribución. Un Análisis basado en la Teoría de,ACIEM ASOCIACION COLOMBIANA DE INGENIEROS ELECTRICISTAS ELECTRONICOS Y MECANICOS;
0000228958;20;Publicación de la Patente:Fuente de corriente de alta Impedancia que usa una fuentes de descargas tipo corona;;2003;SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO GACETA DE LA PROPIEDAD IMDUSTRIAL 530 DE 32 JULIO;
0000228958;21;Beca para realizar trabajo de investigación en la Universidad de Uppsala;;2002;Prof. Vernon Cooray,DIVISION OF ELECTRICITY AND LIGHTNING RESEARCH DEP MATERIAL SCIENCE UPPSALA UNIVERSITY SUECIA;
0000228958;22;Beca del DAAD para realizar estudios en la Universidad Fridericiana de Karlsruhe;;1980;Alemania,DAAD DEUTSCHE AKADEMISCHE AUSTAUSCH DIENST SERVICIO DE INTERCAMBIO ACADEMICO DE ALEMANIA FEDERAL;
0000228958;23;Beca estudios de Doctorado en Ingeniería Eléctrica;;1993;Universidad de Uppsala, Suecia,DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000228958;24;Mencion de Honor Ciencias Exactas Fisicas y Naturales;;2003;FUNDACION ALEJANDRO ANGEL ESCOBAR;
0000228958;25;Energía Eléctica a partir de las Nubes de Tormenta: Avances en el Proceso de Captación y Almacenamiento;;2005;FUNDACION ALEJANDRO ANGEL ESCOBAR;
0000228958;26;Mención Meritoria a la tesis de grado de Ingeniero electricista: Diseño Económico de Líneas de Transmisión Director Ing. José Fernando Isaza;;1975;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000228958;27;Matrícula de Honor;;1972;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000228958;28;Profesor Titular;;2004;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000228958;29;Docencia Excepcional;;2002;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000229784;1;Beca Fulbright - Investigador Visitante Colombiano;Investigador Visitante Colombiano,COMISION FULBRIGHT - Febrero;2014;;
0000229784;2;Academia Integral Meritoria;Octubre;2012;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000229784;3;Premio Álvaro Pardo Sánchez;Agosto;2012;ASOCIACION COLOMBIANA DE INGENIERIA SANITARIA Y AMBIENTAL ACODAL;
0000229784;4;Mención de Honor Premios Otto de Greiff al mejor proyecto de grado en Medio Ambiente y Desarrollo Sostenible;;1996;ACAC;
0000231045;1;Tesis de Maestría con calificación Meritória;Diciembre;2010;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000231045;2;Ganador del Concurso mejores trabajos de grado XVII versión de la Universidad Nacional de Colombia;Septiembre;2007;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000231045;3;PREMIOS Y DISTINCIONES A LA INGENIERÍA NACIONAL. PRIMER PREMIO AL PROYECTO DE GRADO DEL AÑO;Noviembre;1996;ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000231045;4;PREMIOS Y DISTINCIONES A LA INGENIERÍA NACIONAL. PRIMER PREMIO A LA TESIS DE POSGRADO DEL AÑO;Noviembre;1999;ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000231045;5;PROYECTO DE GRADO DE MAESTRÍA CON CALIFICACIÓN LAUREADA;Agosto;1999;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000231045;6;PROYECTO DE GRADO CON CALIFICACIÓN MERITORIA;Agosto;1996;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000231045;7;Tesis Doctoral con calificación Sobresaliente Cum Laude;Octubre;2006;UNIVERSIDAD POLITECNICA DE CATALUNA;
0000245500;1;Por su brillante desempeño profesional;Diciembre;2008;UNIVERSIDAD LA GRAN COLOMBIA;
0000245500;2;Vicepresidente Sociedad Colombiana de Geotecnia;Marzo;2010;SOCIEDAD COLOMBIANA DE GEOTECNIA;
0000245500;3;Mención Meritoria;Marzo;2010;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000245500;4;Mejor trabajo de grado SIR UN 2009;Noviembre;2009;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000245500;5;Mención Meritoria 2011;Julio;2011;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000245500;6;Mención de Honor Premio Lorenzo Codazzi;Junio;2012;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000245500;7;Presidente Sociedad Colombiana de Geotecnia;Marzo;2012;SOCIEDAD COLOMBIANA DE GEOTECNIA;
0000245500;8;Premio Nacional de Ingenieria AICUN;Diciembre;2011;ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL;
0000245500;9;Orden Honor al Mérito Categoría Caballero;Octubre;2011;UNIVERSIDAD LA GRAN COLOMBIA BOGOTA;
0000245500;10;Homologación materias por buen rendimiento;;1992;UNIVERSIDAD LA GRAN COLOMBIA;
0000245500;11;Beca pregrado por buen rendimiento;;1991;SENA;
0000245500;12;Beca pregrado por buen rendimiento;;1993;SENA;
0000245500;13;Beca pregrado por buen rendiemiento;;1992;SENA;
0000245500;14;Beca pregrado por buen rendimiento;;1990;SENA;
0000245500;15;Beca pregrado por buen rendimiento;;1989;SENA;
0000245500;16;Mención Meritoria;;2005;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000248452;1;Trabajo de Grado con Mención Meritoria;Mayo;2017;UNIVERSIDAD MILITAR NUEVA GRANADA UNIMILITAR;
0000248452;2;Segundo Lugar en Exposición de Proyectos -;ESCUELA COLOMBIANA DE INGENIERIA ECICIENCIA 2005 -;2005;;
0000248452;3;Beca Universidad Empresa;;2000;UNIVERSIDAD DE LOS ANDES UNIANDES;
0000249360;1;Premio de investigación Álvaro Pardo Sánchez - ACODAL;ACODAL, - Agosto;2012;;
0000249360;2;Becario de la Agencia de Cooperación Suiza (SDC);Septiembre;2005;SWISS DEVELOPMENT COOPERATION;
0000249360;3;Becario del programa Jóvenes Investigadores de la Academia de Ciencias y Artes de Suiza;Diciembre;2007;KOMMISSION FUR FORSCHUNGSPARTNERSCHAFTEN MIT ENTWICKLUNGSLANDERN KFPE;
0000249670;1;Premio AICUN al trabajo de grado 2013. Al trabajo de pregrado Caracterización de los agregados de concreto hidráulico reciclado - Noviembre de 2013;Noviembre;2013, - Noviembrede 2013;;
0000252158;1;Beca por Excelentes Méritos Académicos en el Segundo Semestre de 2001.;;2001;FACULTAD DE INGENIERIA UNCB;
0000252158;2;Beca por Excelentes Méritos Académicos en el Primer Semestre de 2002.;;2002;FACULTAD DE INGENIERIA UNCB;
0000252158;3;Jóven Investigador del Programa de Formación de Jóvenes Investigadores;;2001;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000252581;1;Contibución a la Universidad;CIMOC,UNIVERSIDAD DE LOS ANDES UNIANDES -;2002;mediante la innovación en medios y servicios del Centro de Investigación en Materiales y Obras Civiles;
0000261823;1;Estudiante Cum Laude;;1995;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000266930;1;Medalla 40 años;;2004;UNIVERSIDAD DE LA SALLE UNISALLE;
0000266930;2;Premio Nacional de Ingeniería;;1997;,ACIEM;
0000266930;3;Tesis meritoria;;1988;MAESTRIA DE INGENIERIA DE SISTEMAS;
0000266930;4;Medalla al Mérito;;1997;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000266930;5;Inclusión en el libro ACADÉMICOS NOTABLES DEL SIGLO XX;;2001;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000272345;1;Bachiller distinguido Andrés Bello;;1981;MINISTERIO DE EDUCACION NACIONAL E ICFES;
0000272345;2;Reconocimiento de la Facultad de Ingenieria por aporte a la docencia;;1993;investigación y servicios durante el año académico.,UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE INGENIERIA;
0000272345;3;Docencia Excepcional;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE INGENIERIA;
0000272345;4;Docencia Excepcional;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE INGENIERIA;
0000272345;5;Primer premio al proyecto de grado;;1989;ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000272345;6;Mejor estudiante de la Facultad de Ingenieria;;1989;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;1;Reconocimiento por su contribución a la formación de generaciones de Ingenieros Civiles.;Febrero;2014;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;2;Reconocimiento de 48 años de contribución a la excelencia académica de la Facultad de Ingeniería.;Diciembre;2013;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;3;Tenencia del cargo como Profesor Asociado;Noviembre;2013;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;4;Conferida por el Consejo Superior Universitario la TENENCIA DEL CARGO;Noviembre;2013;¿En reconocimiento a su vinculación en la carrera profesoral por más de 25 años¿, adscrito a la Facultad de Ingeniería de la Sede Bogotá de la Universidad Nacional de Colombia.,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;5;Reconocimiento a sus 50 años de contribución a la excelencia académica de la Facultad de Ingenieria;Diciembre;2015;Universidad Nacional de Colombia.,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;6;Distinción de ¿Profesor Asociado de dedicación cátedra con mayor tiempo de vinculación a la Facultad de Ingeniería¿. Diploma del Consejo de Facultad de la Facultad de Ingeniería de la Universidad Nacional de Colombia en el cual se ¿expresa reconocimiento;Agosto;2011;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;7;Reconocimiento por sus 50 años de Egresado como Ingeniero Civil de la Universidad Nacional.;Noviembre;2015;ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL;
0000290262;8;Catedratico Emérito;Septiembre;2009;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000290262;9;Premio WORTHINGTON;;1983;ASOCIACION COLOMBIANA DE INGENIERIA SANITARIA Y AMBIENTAL ACODAL;
0000290262;10;Placa de la Sociedad Japonesa de Mecánica de Suelos e Ingeniería de Fundaciones;;1989;JSSMFE;
0000290262;11;Primer Conferencista Gustavo Maldonado Lázaro;;1985;,COMISION PERMANENTE DE GEOTECNIA DE LA SOCIEDAD COLOMBIANA DE INGENIEROS;
0000290262;12;Admitido como Miembro de la Academia de Ciencias del Estado de Indiana;;1994;UNIVERSIDAD DE PURDUE;
0000290262;13;Premio Diódoro Sánchez;;1992;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000290262;14;Orden al Mérito Julio Garavito en el grado de Gran Oficial;;1997;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000290262;15;Distinción 25 Años de la Jornadas Geotécnicas de la Ingeniería Colombiana;;2001;SOCIEDAD COLOMBIANA DE INGENIEROS;
0000296902;1;Mención al merito académico;Abril;2015;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000296902;2;Mención al merito académico;Octubre;2016;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000296902;3;Mención de Excelencia Académica;Mayo;2012;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000296902;4;MOERNIZACION DEL ESTADO COLCIENCIAS;;1994;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000296902;5;Excelencia Academica;;2006;UNIVERSIDAD DISTRITAL;
0000296902;6;Excelencia Academica;;2003;UNIVERSIDAD DISTRITAL;
0000296902;7;Excelencia Academica;;2005;UNIVERSIDAD DISTRITAL;
0000296902;8;Excelencia Academica;;2004;UNIVERSIDAD DISTRITAL;
0000297585;1;Trabajo de grado Meritorio;Agosto;2004;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MANIZALES;
0000305030;1;Beca de estudios de Maestria;;2001;CNPQ;
0000318191;1;Tesis Meritoria;Julio;2015;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000318191;2;Grupo de trabajo Amaranto avalado por la Dirección de Bienestar Universitario;Julio;2008;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000318191;3;Tesis Meritoria Cum Laude;;2006;UNIVERSIDAD POLITECNICA DE VALENCIA;
0000322938;1;Tesis Doctoral Laureada. Apto Cum Laude;;1997;UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA;
0000322938;2;Beca Estado de Israel;;1989;ESTADO DE ISRAEL;
0000322938;3;Beca Josér Celestino Mutis para estudios de doctorado;;1994;AGENCIA ESPANOLA DE COOPERACION INTERNACIONAL AECI;
0000322938;4;Beca DNP-ICETEX;CETEX,DEPARTAMENTO NACIONAL DE PLANEACION DE COLOMBIA DNP -;1994;;
0000323594;1;Mención Meritoria;Junio;2006;;
0000323594;2;Reconocimiento por Asesoría de trabajo de investigación estudiantil ganador en Concurso Alberto Quijano Guerrero;;2004;UNIVERSIDAD DE NARINO;
0000323594;3;Mención de Honor. Colegio Colombiano de Psicólogos;Noviembre;2008;;
0000338249;1;Distinción por Extensión Meritoria. Universidad Nacional de Colombia;Septiembre;2010;Sede Bogotá. Facultad de Ingeniería. ,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000338249;2;Mención por docencia Excepcional;;1997;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000338249;3;Premio ACOFI Versión 2003 Tercer Lugar Ponencia La vigencia del mito. Reunión Nacional de Facultades de Ingeniería;;2003;ASOCAICION COLOMBIANA DE FACULTADES DE INGENIERIA;
0000338249;4;Cruz cincuentenario de Fundación;;2003;UNIVERSIDAD LA GRAN COLOMBIA SEDE BOGOTA;
0000338249;5;Mejor ponencia en la Reunión Nacional de Facultades de Ingeniería;;2002;ASOCIACION COLOMBIANA DE FACULTADES DE INGENIERIA ACOFI;
0000338249;6;Premio ACOFI 2004. Primer lugar Ponencia Reglas para el diálogo entre la academia y el mercado;;2004;ASOCIACION COLOMBIANA DE FACULTADES DE INGENIERIA ACOFI;
0000338885;1;Sobresaliente Cum Laude Tesis Doctoral;;2003;UNIVERSIDAD DE CANTABRIA;
0000343838;1;Medalla Andrés Bello a los mejores bachilleres del país;;1987;INSTITUTO COLOMBIANO PARA LA EVALUACION DE LA EDUCACION;
0000343838;2;Premio Mejor Poster;Marzo;2007;;
0000343838;3;Premio Mejor Artículo;Marzo;2007;;
0000343838;4;Mención Meritoria Proyecto de Grado de Ingeniero de Sistemas;;1993;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000343838;5;Mención Meritoria Tesis de Grado de Magíster en Ciencias Matemáticas;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
