COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000037516;1;DOCENCIA EXCEPCIONAL;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000037516;2;SIMPOSIO DE MEJORAMIENTO EMPRESARIAL;;2000;CORPORACION CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO DEL SECTOR ELECTRICO;
0000037524;1;TESIS MERITORIA;Enero;2015;;
0000037524;2;Seleccionada concurso mejores trabajos de grado;Diciembre;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000037524;3;Docencia Meritoria;Octubre;2009;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000037524;4;Diploma a la excelencia académica ITC;;1988;INSTITUTO TECNICO CENTRAL;
0000037524;5;Matricula de Honor;;1979;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000037524;6;Proyecto de Grado Meritorio;;1984;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000037524;7;Matricula de Honor;;1980;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000037621;1;Mención meritoria Tesis Doctoral;Octubre;2008;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000037621;2;Premio Fabio Chaparro Trabajos sobre el sector energético Categoría Doctorado;Octubre;2008;EMPRESA DE ENERGIA DE BOGOTA E E B;
0000037621;3;Matricula de Honor semestres II-94;4,I-95,I-97,II-97,FACULTAD DE INGENIERIA UNCB -;1997;;
0000037621;4;Mención Meritoria Proyecto de grado;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE INGENIERIA;
0000037621;5;Proyecto Ganador Simposio Regional de desarrollo del Sector Empresarial;;1999;CORPORACION CENTRO DE INVESTIGACION Y DESARROLLO TECNOLOGICO DEL SECTOR ELECTRICO;
0000037621;6;Beneficiario Programa Apoyo a Doctorados nacionales 2003;;2003;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000037621;7;Programa Mejores Bachilleres de Colombia;;1994;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
