COD_RH;     COD_PRODUCTO;     TIPO_EVENTO;    TIPO_RED;     FECHA_INI;     AÑO_INI;     MES_INI;     FECHA_FIN;     AÑO_FIN;     MES_FIN
0000228958;1;Simposio;;2003-01-01;2003;01;-;-;-;
0000228958;1;Simposio;;2003-01-01;2003;01;-;-;-;
0000228958;1;Otro;;,;,;;-;-;-;
0000228958;1;Otro;;,;,;;-;-;-;
0000228958;1;Otro;;,;,;;-;-;-;
0000228958;1;Otro;;1984-01-01;1984;01;-;-;-;
0000228958;1;Otro;;1992-01-01;1992;01;-;-;-;
0000228958;1;Otro;;1992-01-01;1992;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;,;,;;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Simposio;;2005-01-01;2005;01;-;-;-;
0000228958;1;Congreso;;2008-01-01;2008;01;-;-;-;
0000228958;1;Simposio;;1995-01-01;1995;01;-;-;-;
0000228958;1;Simposio;;1997-01-01;1997;01;-;-;-;
0000228958;1;Congreso;;1999-01-01;1999;01;-;-;-;
0000228958;1;Otro;;2004-01-01;2004;01;-;-;-;
0000228958;1;Otro;;2004-01-01;2004;01;-;-;-;
0000228958;1;Simposio;;1995-01-01;1995;01;-;-;-;
0000228958;1;Simposio;;2001-01-01;2001;01;-;-;-;
0000228958;1;Simposio;;1996-01-01;1996;01;-;-;-;
0000228958;1;Simposio;;1997-01-01;1997;01;-;-;-;
0001545295;1;Otro;;2018-02-19;2018;02;-;-;-;
0001545295;1;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;1;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;1;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;0;Otro;;2018-02-19;2018;02;-;-;-;
0001545295;0;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;0;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;0;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;0;Otro;;2018-02-19;2018;02;-;-;-;
0001545295;0;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;0;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
0001545295;0;Congreso;;2018-02-01;2018;02;2018-02-02;2018;02;
