COD_RH;     COD_PRODUCTO;     COD_TIPO_PRODUCTO;     NOMPRE_PRODUCTO;     COD_TIPO_EVENTO;     EVENTO_ASOCIADO;     DATOS_COMPLEMENTARIOS;     LUGAR;     AÑO;     AMBITO;     PALABRAS_CLAVE;     ÁREAS;     SECTORES;     COAUTORES;     VINCULA_COAUTORES;     EDITORIAL;     VOLUMEN;     PAGINAS;     DOI;     FINALIDAD;     INSTITUCIONES_ASOCIADAS;     TIPO_VINCULACION_INSTITUCION
0000228958;143;8;Mechanisms and Effects of Lightning Current Coupling to Structures;;;;Colombia;1999;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;Orvisa Comunicaciones;13;;;;;
0000228958;144;8;Design, Realization, and Experimental Test of a Coaxial Exponential Transmission Line Adaptor for a Half-Impulse Radiating Antenna;;;;Estados Unidos;2013;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;Institute of Electrical and Electronics Engineers;41;;10.1109/TPS.2012.2230340;;;
0000228958;145;8;On the Electromagnetic Susceptibility of Hot Wire-Based Electroexplosive Devices to RF Sources;;;;Estados Unidos;2013;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;;55;;10.1109/TEMC.2012.2222891;;;
0000228958;146;8;EXPERIMENTAL STUDY OF A SUB-MILLIMETER SPARK-GAP;;;;Estados Unidos;2013;;;;;FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA,;;Institute of Electrical and Electronics Engineers;41;;;;;
0000228958;147;8;SWITCHED OSCILLATOR: PARAMETER EFFECTS ON THE GENERATED SIGNALS;;;;Estados Unidos;2012;;;;;FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA, NESTOR PENA, NESTOR MISAEL PENA TRASLAVINA,;;Institute of Electrical and Electronics Engineers;40;;;;;
0000228958;148;8;STUDY OF THE BEHAVIOUR OF THE CORONA CURRENT UNDER CONTROLLED ENVIRONMENTAL CONDITIONS;;;;Brasil;2009;;;;;JORGE ALEXANDER ALARCON VILLAMIL, CARLOS ANTONIO GOMEZ VARGAS, FRANCISCO SANTAMARIA PIEDRAHITA, FRANCISCO JOSE ROMAN CAMPOS,;;Ieee;1;;;;;
0000228958;149;8;Understanding the corona space charge influence on the ESD-like discharge produced by a floating electrode in a fast impulse current generator;;;;Brasil;2007;;;;;FRANCISCO JOSE ROMAN CAMPOS, OSCAR JAVIER DIAZ CARDENAS, LILIANA PATRICIA AREVALO GONZALEZ,;;Institute Of Electrotechnics And Energy Of The University Of Sao Paulov.9                    fasc.N/A                    p.461                    -                     ,2007,                     DOI:;9;;;;;
0000228958;150;8;Negative corona simulation at armospheric pressure on cylindrical coaxial arrangement;;;;Grecia;2005;;;;;FRANCISCO JOSE ROMAN CAMPOS, MARLEY BECERRA GARCIA, LILIANA PATRICIA AREVALO GONZALEZ,;;;2;;;;;
0000228958;151;9;Spark gap resistance for an electrostatic discharge at different pressures;;;;Estados Unidos;2008;;;;;FRANCISCO JOSE ROMAN CAMPOS, VERNON COORAY, OSCAR JAVIER DIAZ CARDENAS,;;;1;;;;;
0000228958;152;8;Comportamiento de la Impedancia de Aterrizamiento de una Victima Humana Impactada por un Rayo;;;;Colombia;2008;;;;;FRANCISCO JOSE ROMAN CAMPOS, FRANCISCO SANTAMARIA PIEDRAHITA, OSCAR JAVIER DIAZ CARDENAS, JORGE ALEXANDER ALARCON VILLAMIL,;;Fondo Editorial Universidad Distrital Francisco Jose De Caldasv.2                    fasc.15                    p.32                    - 45                    ,2008,                     DOI:;2;;;;;
0000228958;153;8;Comportamiento ante Descargas Atmosféricas de la Línea Torca-Calera-Circo 115kV. EEB;;;;Colombia;1989;;;;;FRANCISCO JOSE ROMAN CAMPOS, H. TORRES, O. CASTANO,;;;1;;;;;
0000228958;154;8;Energy Absorption on Distribution Lightning Arresters Due to Induced Lightning Currents on an Colombian Experimental Line;;;;Brasil;2001;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;Universidad De Sao Paulo;1;;;;;
0000228958;155;8;Distribution transformers failures and lightning activity in Colombia;;;;Alemania;1992;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;VDE-Verlag GmbH;1;;;;;
0000228958;156;8;Método de los elementos finitos para el cálculo de campos electrostáticos;;;;Colombia;1982;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;Universidad Nacional de Colombia;1;;;;;
0000228958;157;8;The influence of a series micro-gap on the breakdown voltage of a complex gap arrangement containing floating electrodes, FE;;;;Austria;1995;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;Graz University Of Technology August 28 September 1 1995v.1                    fasc.1                    p.1                    -                     ,1995,                     DOI:;1;;;;;
0000228958;158;8;Control de Generación de la Onda de Choque y Medición de sus tiempos característicos;;;;Colombia;1985;;;;;N. TRIVINO, FRANCISCO JOSE ROMAN CAMPOS,;;Universidad Nacional de Colombia;3;;;;;
0000228958;159;8;Las fallas de los transformadores de distribucion;;;;Colombia;1991;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;;1;;;;;
0000228958;160;8;Adding negative corona currents produced by independent electrodes in a cylindrical coaxial configuration;;;;Países Bajos;2003;;;;;FRANCISCO JOSE ROMAN CAMPOS, LILIANA PATRICIA AREVALO GONZALEZ, OSCAR JAVIER DIAZ CARDENAS,;;Delf University;1;;;;;
0000228958;161;8;Varistor Response under Subquent Stroke-like impulse currents;;;;Países Bajos;2003;;;;;FRANCISCO JOSE ROMAN CAMPOS, RAUL MONTANO, VERNON COORAY,;;Delf University;1;;;;;
0000228958;162;8;La teoría de los Lazos Inductivos y las fallas de los transformadores de distribución;;;;Colombia;1991;;;;;FRANCISCO JOSE ROMAN CAMPOS,;;;1;;;;;
0000228958;163;8;Response of low Voltage protective Devices under susequent stroke-like impulse currents;;;;Países Bajos;2003;;;;;FRANCISCO JOSE ROMAN CAMPOS, RAUL MONTANO, VERNON COORAY,;;Delf University;1;;;;;
0000228958;164;8;Lightning striking distance of complex structures;;;;Reino Unido;2008;;;;;FRANCISCO JOSE ROMAN CAMPOS, COORAY V, MARLEY BECERRA GARCIA,;;Institute Of Electrical And Electronics Engineers Ieeev.2                    fasc.1                    p.131                    - 138                    ,2008,                     DOI:;2;;;;;
0000228958;165;8;Spark Gap Behaviour in a Compact Electrostatic Fast Impulse Current Generator;;;;Brasil;2005;;;;;FRANCISCO JOSE ROMAN CAMPOS, OSCAR JAVIER DIAZ CARDENAS,;;Institute Of Electrotechnics And Energy Of The University Of Sao Paulov.127                    fasc.N/A                    p.1                    -                     ,2005,                     DOI:;127;;;;;
